customer_id,full_name,city,country,total_orders,total_spent,average_order_value
67,Customer 67,Prishtina,Unknown,2,5516.82,2758.41
53,Customer 53,Prishtina,Albania,2,4610.78,2305.39
89,Customer 89,Vushtrri,Albania,3,4248.09,1416.03
161,Customer 161,Gjilan,North Macedonia,2,4006.0,2003.0
71,Customer 71,Peja,Albania,2,3909.56,1954.78
51,Customer 51,Mitrovica,Kosovo,1,3067.9,3067.9
16,Customer 16,Prishtina,Albania,1,3029.13,3029.13
112,Customer 112,Mitrovica,Kosovo,4,2967.55,741.89
127,Customer 127,Prishtina,Kosovo,3,2753.76,917.92
43,Customer 43,Prizren,Albania,2,2701.72,1350.86
56,Customer 56,Prizren,Kosovo,1,2659.61,2659.61
113,Customer 113,Gjakova,Unknown,1,2657.82,2657.82
115,Customer 115,Peja,Unknown,2,2511.27,1255.63
168,Customer 168,Peja,Albania,1,2484.36,2484.36
50,Customer 50,Mitrovica,North Macedonia,3,2349.43,783.14
97,Customer 97,Vushtrri,North Macedonia,1,2216.31,2216.31
187,Customer 187,Prishtina,Unknown,1,2184.15,2184.15
69,Customer 69,Ferizaj,Albania,1,1935.72,1935.72
4,Customer 4,Prishtina,Albania,1,1892.72,1892.72
172,Customer 172,Gjilan,Unknown,1,1790.52,1790.52
76,Customer 76,Ferizaj,North Macedonia,2,1638.67,819.34
164,Customer 164,Prishtina,Unknown,2,1585.24,792.62
184,Customer 184,Gjilan,Kosovo,2,1451.44,725.72
25,Customer 25,Prizren,North Macedonia,1,1443.6,1443.6
12,Customer 12,Prizren,Kosovo,1,1429.93,1429.93
79,Customer 79,Peja,Unknown,1,1389.91,1389.91
167,Customer 167,Gjakova,Unknown,1,1359.64,1359.64
15,Customer 15,Vushtrri,Kosovo,2,1308.28,654.14
166,Customer 166,Ferizaj,North Macedonia,2,1235.98,617.99
123,Customer 123,Prishtina,Unknown,2,1206.95,603.48
75,Customer 75,Gjilan,Albania,1,1148.96,1148.96
156,Customer 156,Gjilan,North Macedonia,1,1044.81,1044.81
29,Customer 29,Prishtina,Unknown,1,998.88,998.88
58,Customer 58,Mitrovica,Albania,2,987.2,493.6
32,Customer 32,Ferizaj,Kosovo,1,976.32,976.32
190,Customer 190,Gjakova,Unknown,1,970.97,970.97
57,Customer 57,Prishtina,Kosovo,2,910.33,455.17
136,Customer 136,Gjilan,Kosovo,1,783.58,783.58
173,Customer 173,Prishtina,Albania,1,726.05,726.05
183,Customer 183,Vushtrri,Albania,1,714.74,714.74
20,Customer 20,Peja,Kosovo,1,670.23,670.23
61,Customer 61,Gjakova,North Macedonia,1,620.14,620.14
38,Customer 38,Gjakova,North Macedonia,1,598.34,598.34
116,Customer 116,Prizren,Unknown,1,554.82,554.82
3,Customer 3,Prishtina,Unknown,2,539.3,269.65
177,Customer 177,Mitrovica,Albania,1,527.5,527.5
55,Customer 55,Prishtina,Kosovo,1,517.77,517.77
83,Customer 83,Prizren,North Macedonia,1,507.09,507.09
191,Customer 191,Peja,Kosovo,2,491.23,245.62
153,Customer 153,Ferizaj,Albania,1,474.18,474.18
181,Customer 181,Prishtina,North Macedonia,1,463.52,463.52
94,Customer 94,Peja,Unknown,1,441.95,441.95
95,Customer 95,Vushtrri,North Macedonia,1,419.09,419.09
182,Customer 182,Vushtrri,Kosovo,1,391.03,391.03
87,Customer 87,Prizren,North Macedonia,1,326.96,326.96
26,Customer 26,Prishtina,Kosovo,1,322.0,322.0
147,Customer 147,Prishtina,Kosovo,2,186.28,93.14
6,Customer 6,Prishtina,Albania,1,169.11,169.11
