order_item_id,order_id,product_id,quantity,unit_price,rejection_reason
20,206,83,,408.45,Invalid or missing quantity
33,69,22,-2,235.88,Invalid or missing quantity
40,229,141,,155.33,Invalid or missing quantity
59,186,91,,149.99,Invalid or missing quantity
66,215,63,-2,479.59,Invalid or missing quantity
80,168,76,,346.49,Invalid or missing quantity
99,116,160,-2,195.9,Invalid or missing quantity
100,57,102,,293.42,Invalid or missing quantity
119,77,122,,254.89,Invalid or missing quantity
132,23,58,-2,147.84,Invalid or missing quantity
140,104,11,,306.22,Invalid or missing quantity
160,176,181,,245.79,Invalid or missing quantity
165,141,109,-2,381.46,Invalid or missing quantity
179,7,102,,420.59,Invalid or missing quantity
198,186,43,-2,192.52,Invalid or missing quantity
200,51,121,,47.1,Invalid or missing quantity
220,222,129,,277.53,Invalid or missing quantity
231,206,189,-2,341.86,Invalid or missing quantity
239,224,176,,336.43,Invalid or missing quantity
260,163,147,,319.14,Invalid or missing quantity
264,219,163,-2,126.38,Invalid or missing quantity
280,115,52,,446.96,Invalid or missing quantity
