order_id,customer_id,order_date,status,shipping_city,payment_method,rejection_reason
2,197,2026-02-03,x,Gjilan,Paypal,Invalid status: 'x'
15,25,2026-02-16,x,Mitrovica,Paypal,Invalid status: 'x'
16,23,2026-02-17,x,Prishtina,Unknown,Invalid status: 'x'
19,60,2026-02-20,x,Prizren,Paypal,Invalid status: 'x'
24,86,2026-02-25,x,Peja,Paypal,Invalid status: 'x'
29,67,bad-date,new,Prizren,Paypal,Invalid order_date format: 'bad-date'
32,71,2026-02-05,completed,Prishtina,Unknown,Missing or unknown payment method
34,100,2026-02-07,x,Prishtina,Card,Invalid status: 'x'
35,103,2026-02-08,x,Peja,Paypal,Invalid status: 'x'
39,147,2026-02-12,x,Peja,Paypal,Invalid status: 'x'
41,32,2026-02-14,x,Mitrovica,Cash,Invalid status: 'x'
43,201,2026-02-16,x,Prizren,Cash,Invalid status: 'x'
44,109,2026-02-17,x,Gjakova,Card,Invalid status: 'x'
45,160,2026-02-18,x,Vushtrri,Paypal,Invalid status: 'x'
47,100,2026-02-20,x,Prishtina,Card,Invalid status: 'x'
48,65,2026-02-21,completed,Prizren,Unknown,Missing or unknown payment method
49,26,2026-02-23,x,Vushtrri,Card,Invalid status: 'x'
51,184,2026-02-24,x,Vushtrri,Card,Invalid status: 'x'
53,106,2026-02-26,x,Peja,Paypal,Invalid status: 'x'
54,48,2026-02-27,x,Vushtrri,Card,Invalid status: 'x'
56,71,2026-02-01,x,Mitrovica,Card,Invalid status: 'x'
58,161,bad-date,completed,Gjilan,Card,Invalid order_date format: 'bad-date'
60,57,2026-02-05,x,Gjakova,Card,Invalid status: 'x'
62,50,2026-02-07,x,Vushtrri,Paypal,Invalid status: 'x'
64,164,2026-02-09,x,Gjakova,Unknown,Invalid status: 'x'
68,48,2026-02-13,x,Prishtina,Paypal,Invalid status: 'x'
71,125,2026-02-16,x,Prishtina,Paypal,Invalid status: 'x'
80,141,2026-02-25,completed,Peja,Unknown,Missing or unknown payment method
82,190,2026-02-27,x,Prishtina,Paypal,Invalid status: 'x'
84,36,2026-02-01,x,Gjakova,Paypal,Invalid status: 'x'
85,15,2026-02-02,x,Gjakova,Card,Invalid status: 'x'
86,180,2026-02-03,x,Peja,Cash,Invalid status: 'x'
87,43,bad-date,new,Prizren,Cash,Invalid order_date format: 'bad-date'
88,120,2026-02-05,x,Gjilan,Cash,Invalid status: 'x'
89,96,2026-02-06,x,Mitrovica,Paypal,Invalid status: 'x'
93,124,2026-02-10,x,Prizren,Card,Invalid status: 'x'
94,55,2026-02-11,x,Prizren,Cash,Invalid status: 'x'
96,200,2026-02-13,completed,Gjilan,Unknown,Missing or unknown payment method
99,91,2026-02-16,x,Mitrovica,Cash,Invalid status: 'x'
101,53,2026-02-18,x,Prishtina,Cash,Invalid status: 'x'
104,186,2026-02-21,x,Vushtrri,Paypal,Invalid status: 'x'
105,13,2026-02-22,x,Gjilan,Card,Invalid status: 'x'
108,157,2026-02-25,x,Prizren,Paypal,Invalid status: 'x'
110,171,2026-02-27,x,Prizren,Card,Invalid status: 'x'
112,199,2026-02-01,new,Prishtina,Unknown,Missing or unknown payment method
116,111,bad-date,new,Gjakova,Paypal,Invalid order_date format: 'bad-date'
118,148,2026-02-07,x,Gjakova,Card,Invalid status: 'x'
119,4,2026-02-08,x,Prizren,Cash,Invalid status: 'x'
120,198,2026-02-09,x,Vushtrri,Card,Invalid status: 'x'
121,22,2026-02-10,x,Peja,Card,Invalid status: 'x'
128,161,2026-02-17,x,Gjakova,Unknown,Invalid status: 'x'
134,187,2026-02-23,x,Gjakova,Paypal,Invalid status: 'x'
137,99,2026-02-26,x,Gjilan,Paypal,Invalid status: 'x'
141,97,2026-02-02,x,Mitrovica,Paypal,Invalid status: 'x'
144,69,2026-02-05,x,Prizren,Unknown,Invalid status: 'x'
145,151,bad-date,new,Gjilan,Card,Invalid order_date format: 'bad-date'
147,176,2026-02-08,x,Ferizaj,Paypal,Invalid status: 'x'
148,22,2026-02-09,x,Mitrovica,Card,Invalid status: 'x'
149,15,2026-02-11,x,Gjakova,Paypal,Invalid status: 'x'
160,162,2026-02-21,x,Prishtina,Unknown,Invalid status: 'x'
163,53,2026-02-24,x,Peja,Cash,Invalid status: 'x'
169,17,2026-02-02,x,Prishtina,Paypal,Invalid status: 'x'
172,47,2026-02-05,x,Prizren,Cash,Invalid status: 'x'
174,66,bad-date,completed,Prishtina,Paypal,Invalid order_date format: 'bad-date'
176,182,2026-02-09,x,Prishtina,Unknown,Invalid status: 'x'
179,27,2026-02-12,x,Ferizaj,Cash,Invalid status: 'x'
180,66,2026-02-13,x,Prishtina,Cash,Invalid status: 'x'
181,124,2026-02-14,x,Prizren,Cash,Invalid status: 'x'
185,36,2026-02-18,x,Prishtina,Cash,Invalid status: 'x'
191,69,2026-02-24,x,Mitrovica,Card,Invalid status: 'x'
192,40,2026-02-25,new,Gjilan,Unknown,Missing or unknown payment method
194,67,2026-02-27,x,Prishtina,Cash,Invalid status: 'x'
195,117,2026-02-28,x,Prishtina,Card,Invalid status: 'x'
199,100,2026-02-05,completed,Mitrovica,Card,Duplicate order_id: 199
202,5,2026-02-07,x,Vushtrri,Cash,Invalid status: 'x'
203,131,bad-date,completed,Gjakova,Card,Invalid order_date format: 'bad-date'
208,154,2026-02-13,new,Prishtina,Unknown,Missing or unknown payment method
209,156,2026-02-14,x,Gjilan,Card,Invalid status: 'x'
212,178,2026-02-17,x,Prishtina,Paypal,Invalid status: 'x'
215,196,2026-02-20,x,Prizren,Paypal,Invalid status: 'x'
