order_id,customer_id,order_date,status,shipping_city,payment_method
1,73,2026-02-02,new,Ferizaj,Cash
3,191,2026-02-04,new,Mitrovica,Card
4,112,2026-02-05,new,Ferizaj,Cash
5,181,2026-02-06,new,Vushtrri,Paypal
6,56,2026-02-07,new,Gjilan,Card
7,112,2026-02-08,new,Vushtrri,Card
8,74,2026-02-09,new,Prishtina,Cash
9,126,2026-02-10,new,Gjakova,Paypal
10,204,2026-02-11,completed,Gjakova,Paypal
11,89,2026-02-12,completed,Prizren,Cash
12,55,2026-02-13,completed,Gjakova,Card
13,29,2026-02-14,new,Gjakova,Paypal
14,144,2026-02-15,new,Ferizaj,Cash
17,96,2026-02-18,completed,Gjilan,Cash
18,110,2026-02-19,completed,Mitrovica,Paypal
20,153,2026-02-21,new,Ferizaj,Paypal
21,84,2026-02-22,completed,Gjakova,Paypal
22,142,2026-02-23,completed,Prizren,Cash
23,113,2026-02-24,completed,Peja,Card
25,50,2026-02-26,completed,Gjilan,Paypal
26,159,2026-02-27,completed,Prizren,Card
27,186,2026-02-28,completed,Vushtrri,Cash
28,42,2026-02-01,completed,Ferizaj,Card
30,27,2026-02-03,completed,Mitrovica,Card
31,38,2026-02-04,completed,Gjilan,Cash
33,164,2026-02-06,new,Gjilan,Card
36,162,2026-02-09,completed,Gjakova,Card
37,37,2026-02-10,completed,Mitrovica,Card
38,190,2026-02-11,completed,Mitrovica,Paypal
40,185,2026-02-13,completed,Prizren,Paypal
42,67,2026-02-15,new,Mitrovica,Card
46,170,2026-02-19,completed,Ferizaj,Card
49,184,2026-02-22,completed,Vushtrri,Cash
52,164,2026-02-25,completed,Vushtrri,Cash
55,187,2026-02-28,completed,Prishtina,Cash
57,4,2026-02-02,new,Mitrovica,Cash
59,58,2026-02-04,completed,Mitrovica,Paypal
61,43,2026-02-06,completed,Prishtina,Paypal
63,58,2026-02-08,completed,Ferizaj,Paypal
65,76,2026-02-10,completed,Gjakova,Cash
66,201,2026-02-11,completed,Gjilan,Paypal
67,97,2026-02-12,completed,Mitrovica,Paypal
69,205,2026-02-14,completed,Ferizaj,Card
70,168,2026-02-15,completed,Ferizaj,Cash
72,93,2026-02-17,completed,Gjilan,Cash
73,15,2026-02-18,new,Ferizaj,Card
74,136,2026-02-19,completed,Prishtina,Paypal
75,3,2026-02-20,completed,Prishtina,Paypal
76,76,2026-02-21,completed,Prishtina,Paypal
77,37,2026-02-22,completed,Prizren,Cash
78,89,2026-02-23,completed,Peja,Cash
79,203,2026-02-24,completed,Prishtina,Paypal
81,127,2026-02-26,completed,Vushtrri,Card
83,31,2026-02-28,completed,Mitrovica,Card
90,20,2026-02-07,completed,Ferizaj,Paypal
91,166,2026-02-08,new,Prishtina,Paypal
92,12,2026-02-09,completed,Prishtina,Paypal
95,25,2026-02-12,completed,Ferizaj,Cash
97,112,2026-02-14,completed,Mitrovica,Cash
98,142,2026-02-15,new,Gjilan,Cash
99,129,2026-02-17,completed,Vushtrri,Cash
102,50,2026-02-19,completed,Gjilan,Card
103,151,2026-02-20,new,Prishtina,Cash
106,2,2026-02-23,new,Peja,Cash
107,156,2026-02-24,new,Vushtrri,Paypal
109,173,2026-02-26,new,Peja,Card
111,170,2026-02-28,completed,Prishtina,Cash
