payment_id,order_id,payment_date,amount,currency,status,payment_method
1,62,2026-03-02,233.28,EUR,Refunded,Paypal
2,21,2026-03-03,54.87,EUR,Paid,Card
3,2,2026-03-04,649.48,USD,Refunded,Card
4,8,2026-03-05,223.8,EUR,Failed,Card
5,104,2026-03-06,264.02,EUR,Paid,Paypal
6,15,2026-03-07,546.38,USD,Refunded,Cash
7,199,2026-03-08,639.05,EUR,Failed,Cash
8,119,2026-03-09,790.38,EUR,Failed,Card
9,15,2026-03-10,30.34,USD,Failed,Cash
10,24,2026-03-11,495.03,USD,Refunded,Card
11,92,2026-03-12,133.39,EUR,Paid,Cash
12,59,2026-03-13,344.35,EUR,Failed,Paypal
13,199,2026-03-14,498.75,EUR,Paid,Paypal
14,93,2026-03-15,254.31,EUR,Failed,Paypal
15,65,2026-03-16,428.41,USD,Refunded,Card
16,39,2026-03-17,450.92,EUR,Failed,Paypal
17,160,2026-03-18,190.25,EUR,Paid,Card
18,67,2026-03-19,106.56,EUR,Refunded,Paypal
19,223,2026-03-20,298.83,EUR,Refunded,Paypal
20,90,2026-03-21,685.99,EUR,Paid,Paypal
21,163,2026-03-22,201.64,EUR,Refunded,Cash
22,55,2026-03-23,721.81,EUR,Paid,Cash
23,169,2026-03-24,633.96,EUR,Paid,Paypal
25,169,2026-03-26,455.72,EUR,Paid,Paypal
26,6,2026-03-27,689.66,EUR,Failed,Cash
28,77,2026-03-01,267.58,EUR,Failed,Cash
29,221,2026-03-02,181.12,EUR,Paid,Cash
30,73,2026-03-03,763.87,EUR,Failed,Card
31,42,2026-03-04,271.91,EUR,Refunded,Cash
32,149,2026-03-05,549.39,EUR,Refunded,Card
33,12,2026-03-06,707.46,EUR,Failed,Cash
34,176,2026-03-07,154.01,EUR,Failed,Card
35,35,2026-03-08,645.97,EUR,Paid,Cash
36,193,2026-03-09,129.13,USD,Paid,Card
37,107,2026-03-10,376.94,EUR,Paid,Cash
38,230,2026-03-11,517.31,EUR,Failed,Card
39,10,2026-03-12,472.37,EUR,Paid,Card
40,179,2026-03-13,408.78,EUR,Paid,Card
41,17,2026-03-14,585.52,EUR,Failed,Card
42,135,2026-03-15,105.17,EUR,Refunded,Cash
43,163,2026-03-16,12.03,EUR,Refunded,Paypal
44,215,2026-03-17,440.96,EUR,Failed,Cash
45,56,2026-03-18,766.22,EUR,Failed,Card
46,4,2026-03-19,587.8,USD,Refunded,Cash
47,131,2026-03-20,222.51,EUR,Refunded,Card
49,141,2026-03-22,553.63,EUR,Failed,Cash
50,109,2026-03-23,555.33,USD,Paid,Cash
51,100,2026-03-24,436.6,EUR,Refunded,Cash
52,62,2026-03-25,706.53,EUR,Paid,Paypal
53,62,2026-03-26,405.83,USD,Paid,Card
54,141,2026-03-28,330.6,USD,Paid,Paypal
56,192,2026-03-01,259.34,EUR,Paid,Paypal
57,61,2026-03-02,684.24,USD,Paid,Paypal
58,183,2026-03-03,635.18,EUR,Failed,Card
59,19,2026-03-04,320.88,USD,Failed,Paypal
60,68,2026-03-05,639.88,EUR,Failed,Cash
61,147,2026-03-06,687.59,USD,Paid,Card
62,135,2026-03-07,799.53,EUR,Failed,Card
63,173,2026-03-08,426.7,USD,Refunded,Card
64,164,2026-03-09,130.44,EUR,Refunded,Paypal
65,98,2026-03-10,695.55,EUR,Failed,Cash
66,105,2026-03-11,667.38,EUR,Paid,Card
67,94,2026-03-12,565.07,EUR,Paid,Cash
68,170,2026-03-13,533.77,USD,Paid,Card
69,178,2026-03-14,227.26,USD,Paid,Card
70,195,2026-03-15,364.96,EUR,Refunded,Paypal
71,126,2026-03-16,128.41,EUR,Failed,Paypal
73,147,2026-03-18,209.76,EUR,Paid,Cash
74,184,2026-03-19,55.61,EUR,Failed,Paypal
75,62,2026-03-20,226.93,USD,Failed,Cash
76,220,2026-03-21,668.97,EUR,Paid,Card
77,159,2026-03-22,169.33,EUR,Failed,Cash
78,94,2026-03-23,737.21,EUR,Paid,Card
79,111,2026-03-24,572.9,USD,Paid,Paypal
80,62,2026-03-25,489.88,USD,Failed,Cash
82,85,2026-03-27,468.37,EUR,Refunded,Card
83,101,2026-03-28,73.15,EUR,Paid,Paypal
84,152,2026-03-01,337.62,EUR,Paid,Paypal
85,107,2026-03-02,375.41,EUR,Paid,Cash
86,102,2026-03-03,149.22,EUR,Paid,Cash
87,190,2026-03-04,116.87,EUR,Refunded,Card
88,142,2026-03-05,327.33,EUR,Failed,Cash
89,24,2026-03-06,617.69,EUR,Paid,Card
90,128,2026-03-07,679.83,EUR,Paid,Card
91,15,2026-03-08,680.04,EUR,Paid,Paypal
92,221,2026-03-09,167.87,USD,Paid,Card
93,105,2026-03-10,444.8,EUR,Refunded,Card
94,86,2026-03-11,698.83,EUR,Failed,Card
95,138,2026-03-12,419.39,EUR,Refunded,Cash
97,131,2026-03-14,534.52,USD,Paid,Cash
98,64,2026-03-15,548.04,USD,Failed,Cash
99,52,2026-03-16,643.56,USD,Failed,Card
100,169,2026-03-17,51.16,USD,Paid,Cash
101,206,2026-03-18,570.8,EUR,Failed,Cash
102,3,2026-03-19,168.21,EUR,Failed,Paypal
