product_id,product_name,category,price,stock_quantity,supplier_id,status
1,Product 1,Accessories,232.19,64,9,active
2,Product 2,Laptop,108.87,26,19,active
3,Product 3,Accessories,75.16,67,12,active
4,Product 4,Monitor,303.67,80,9,active
5,Product 5,Accessories,353.15,29,16,active
7,Product 7,Accessories,154.47,18,12,active
8,Product 8,Laptop,161.46,42,11,active
9,Product 9,Laptop,420.36,15,1,invalid
10,Product 10,Laptop,148.47,47,13,active
11,Product 11,Laptop,499.4,75,12,active
12,Product 12,Accessories,379.05,6,4,active
13,Product 13,Laptop,418.16,36,8,active
14,Product 14,Laptop,220.94,40,12,active
15,Product 15,Accessories,442.71,97,18,invalid
16,Product 16,Laptop,105.7,10,14,active
18,Product 18,Laptop,456.39,70,6,active
20,Product 20,Accessories,370.68,83,13,invalid
22,Product 22,Laptop,200.21,21,3,active
24,Product 24,Accessories,453.6,97,14,active
25,Product 25,Laptop,276.15,31,6,active
26,Product 26,Laptop,280.16,40,12,active
27,Product 27,Laptop,405.63,25,14,active
28,Product 28,Laptop,209.87,67,13,active
29,Product 29,Accessories,172.41,7,9,invalid
30,Product 30,Monitor,484.0,16,17,invalid
31,Product 31,Laptop,396.2,27,9,active
32,Product 32,Accessories,195.36,82,14,active
33,Product 33,Laptop,425.1,2,2,active
34,Product 35,Accessories,41.2,67,15,active
36,Product 36,Laptop,392.64,28,5,invalid
37,Product 37,Accessories,486.08,13,3,invalid
39,Product 39,Accessories,460.36,82,5,invalid
40,Product 40,Accessories,129.64,81,4,active
41,Product 41,Monitor,39.82,67,7,active
43,Product 43,Accessories,271.05,58,11,invalid
44,Product 44,Accessories,420.51,31,17,active
45,Product 45,Accessories,275.77,3,10,active
47,Product 47,Accessories,117.78,54,8,active
48,Product 48,Accessories,21.88,43,12,invalid
50,Product 50,Accessories,106.58,25,7,active
52,Product 52,Laptop,250.4,23,16,active
53,Product 53,Monitor,455.65,7,5,active
54,Product 54,Monitor,31.91,3,5,active
55,Product 55,Laptop,30.66,7,13,active
56,Product 56,Laptop,449.59,40,3,active
58,Product 58,Accessories,159.35,92,12,active
59,Product 59,Laptop,224.01,13,3,active
60,Product 60,Laptop,44.98,53,18,active
61,Product 61,Accessories,193.16,98,14,active
62,Product 62,Laptop,29.38,60,12,invalid
64,Product 64,Laptop,369.97,60,14,active
65,Product 65,Accessories,406.85,98,2,active
66,Product 66,Laptop,22.25,8,9,active
67,Product 67,Accessories,374.91,77,12,active
69,Product 70,Laptop,362.18,76,1,active
71,Product 71,Accessories,58.09,91,13,active
72,Product 72,Laptop,457.2,63,16,active
73,Product 73,Accessories,9.31,94,5,invalid
74,Product 74,Accessories,121.89,40,12,invalid
75,Product 75,Accessories,44.11,25,6,active
77,Product 77,Accessories,274.59,20,4,active
78,Product 78,Laptop,136.12,10,4,active
79,Product 79,Accessories,251.75,90,6,active
80,Product 80,Monitor,70.8,58,8,invalid
81,Product 81,Laptop,271.59,99,10,active
82,Product 82,Accessories,143.3,34,9,invalid
83,Product 83,Laptop,133.87,56,6,active
86,Product 86,Laptop,265.52,83,15,active
87,Product 87,Laptop,55.65,60,15,active
88,Product 88,Laptop,24.98,37,4,active
89,Product 89,Laptop,98.84,74,3,active
90,Product 90,Accessories,258.77,22,20,active
91,Product 91,Laptop,388.62,85,4,invalid
93,Product 93,Laptop,187.51,18,7,active
94,Product 94,Laptop,23.93,93,1,active
96,Product 96,Accessories,43.58,4,18,active
97,Product 97,Accessories,36.32,12,18,active
98,Product 98,Laptop,321.4,11,13,invalid
99,Product 99,Accessories,139.23,36,14,active
100,Product 100,Accessories,159.62,72,14,active
101,Product 101,Accessories,14.02,98,7,active
103,Product 103,Accessories,214.76,11,19,active
104,Product 104,Laptop,233.15,20,1,active
106,Product 106,Monitor,288.57,47,6,active
107,Product 107,Monitor,177.23,20,6,active
108,Product 108,Laptop,58.85,62,10,active
109,Product 109,Accessories,419.46,5,11,active
110,Product 110,Accessories,305.78,81,3,invalid
111,Product 111,Laptop,312.07,20,20,active
112,Product 112,Accessories,309.29,25,6,invalid
113,Product 113,Monitor,112.98,51,6,active
116,Product 116,Monitor,197.97,58,10,invalid
117,Product 117,Laptop,212.94,74,14,active
118,Product 118,Monitor,331.13,57,15,active
120,Product 120,Accessories,226.18,79,6,active
121,Product 121,Laptop,203.17,8,12,active
122,Product 122,Monitor,185.84,56,17,invalid
123,Product 123,Laptop,25.18,81,3,invalid
124,Product 124,Monitor,160.29,92,3,active
125,Product 125,Laptop,377.27,48,1,active
127,Product 127,Accessories,70.15,62,6,invalid
128,Product 128,Laptop,395.25,28,12,invalid
129,Product 129,Accessories,379.31,20,20,active
130,Product 130,Laptop,453.01,58,9,invalid
131,Product 131,Laptop,482.34,61,19,active
132,Product 132,Accessories,309.85,30,12,active
134,Product 134,Laptop,167.27,48,9,active
135,Product 135,Accessories,385.29,6,15,invalid
137,Product 137,Accessories,316.74,50,9,active
139,Product 139,Laptop,383.5,56,6,invalid
141,Product 141,Accessories,158.49,74,1,invalid
142,Product 142,Accessories,21.73,19,20,invalid
143,Product 143,Accessories,218.96,65,2,active
144,Product 144,Laptop,246.76,78,1,active
145,Product 145,Accessories,6.29,45,4,invalid
146,Product 146,Accessories,181.79,28,19,active
148,Product 148,Laptop,415.09,20,1,active
149,Product 149,Laptop,355.2,57,3,invalid
150,Product 150,Accessories,76.62,85,13,active
151,Product 151,Monitor,483.73,7,12,invalid
154,Product 154,Laptop,268.11,51,8,active
155,Product 155,Laptop,33.9,99,1,invalid
156,Product 156,Laptop,277.71,25,14,active
157,Product 157,Monitor,261.54,82,14,invalid
158,Product 158,Laptop,91.45,39,10,invalid
159,Product 159,Accessories,29.0,92,18,active
160,Product 160,Accessories,190.7,55,3,invalid
162,Product 162,Laptop,119.99,4,11,invalid
163,Product 163,Laptop,462.96,33,9,invalid
164,Product 164,Monitor,279.12,55,9,active
165,Product 165,Laptop,322.79,27,17,active
166,Product 166,Laptop,89.04,30,6,invalid
167,Product 167,Accessories,457.9,24,11,invalid
169,Product 169,Laptop,238.71,67,1,active
172,Product 172,Laptop,76.57,3,4,invalid
173,Product 173,Laptop,464.83,44,1,active
174,Product 174,Laptop,25.62,88,3,invalid
176,Product 176,Accessories,446.18,8,4,active
177,Product 177,Laptop,106.83,14,2,invalid
178,Product 178,Accessories,48.3,96,16,active
179,Product 179,Laptop,70.66,96,10,active
180,Product 180,Laptop,171.58,33,12,active
